Name,Type,LOQ in H2O,LOQ,Use,Usage
Benzothiazole,PCHC,10,16,"found in many natural plant products; properties include anticancer, antimicrobial, antidiabetic, anticonvulsant, anti-inflammatory activities",Constant
Benzophenone,PCHC,10,16,used in personal care products such as lip balm and nail polish to protect the products from UV light,Constant
Sucralose,PCHC,10,45,artificial sweetener and sugar substitute; the majority of ingested sucralose is not broken down by the body,Constant
5-Methyl-1H-benzotriazole,PCHC,10,17,"corrosion inhibitor in antifreeze, engine oils, brake fluids, protective coatings",Constant
"N,N-Diethyl-3-methylbenzamide (DEET)",PCHC,0,0,most common active ingredient in insect repellents,Spring/summer
1H-Benzotriazole,PCHC,10,19,an effective corrosion inhibitor for copper alloys.,Constant
Benzophenone-3 (Oxybenzone),PCHC,10,20,benzophenone derivative used as a sunscreen agent; absorbs UVB and UVA II rays,Spring/summer
Triclosan,PCHC,10,11,"antibacterial antifungal agent in some toothpaste, soaps, detergents, toys, and surgical cleaning treatments",Constant
2-Hydroxybenzothiazole,PCHC,10,27,released into wastewaters during the industrial production of a rubber vulcanization accelerator,Constant
Galaxolidone,PCHC TP,10,13,"a synthetic musk with a clean sweet musky floral woody odor used in fragrances (perfumes, colognes, soaps, detergents, etc)",Constant
Atrazine,PEST,10,13,broadleaf herbicide;  one of the most widely used herbicides in US ,Spring/summer
Metolachlor,PEST,10,11,herbicide; highly effective on grasses,Spring/summer
"2,4-Dichlorophenoxyacetic Acid (2,4-D)",PEST,10,12,systemic herbicide which selectively kills most broadleaf weeds,Spring/summer
Metalaxyl,PEST,10,10,"fungicide; controls Pythium in vegetable crops, and Phytophthora in peas",Spring/summer
Prometon,PEST,1,1,"herbicide for broad-leaf weed, brush and grass control mainly in non-cropping situations",Spring/summer
Imazapyr,PEST,10,14,a non-selective herbicide  for the control of a broad range of weeds including terrestrial grasses and riparian and emergent aquatic species,Spring/summer
Mecoprop,PEST,10,19,a common general use herbicide found in many household weed killers ,Spring/summer
Imidacloprid,PEST,1,1,"insecticide used to control aphids, thrips, whiteflies, scale, termites, turf and soil insects and some beetles.",Spring/summer
Abscisic Acid,PEST,25,21,a plant hormone,Constant
Simazine,PEST,10,15,"used to control broad-leaved weeds and annual grasses in berry fruit, vegetable and ornamental crops, turfgrass, and orchards and vineyards",Spring/summer
Propazine,PEST,10,11,an herbicide ,Spring/summer
Clothianidin,PEST,10,13,an insecticide ,Spring/summer
Diuron,PEST,10,11,algicide and herbicide inhibits photosynthesis; control a wide variety of annual and perennial broadleaf and grassy weeds,Spring/summer
Thiamethoxam,PEST,10,9,a systemic insecticide,Spring/summer
Ametryn,PEST,1,2, a herbicide,Spring/summer
Carbendazim,PEST,1,2,"a widely used, broad-spectrum fungicide used as a casting worm control agent in amenity turf situations such as golf greens, tennis courts etc",Spring/summer
Ethyl Butylacetylaminopropionate,PEST,10,11,an insect repellent,Spring/summer
(4-Chloro-2-methylphenoxy)acetic Acid (MCPA),PEST,10,22,"a powerful, selective, widely used phenoxy herbicide",Spring/summer
Carbaryl,PEST,10,17,a man-made pesticide,Spring/summer
Monuron,PEST,10,8,a role as a herbicide,Spring/summer
Atrazine-2-hydroxy,PEST TP,10,14,transformation product of Atrazine,Spring/summer
Atrazine-desethyl,PEST TP,1,2,transformation product of Atrazine,Spring/summer
Metolachlor Ethane Sulfonic Acid (Metolachlor ESA),PEST TP,10,32,the ESA degradates of Metolachlor; can be persistent in soil,Spring/summer
Metolachlor Oxanilic Acid (Metolachlor OA),PEST TP,25,24,the OA degradates of Metolachlor; can be persistent in soil,Spring/summer
Atrazine-desisopropyl,PEST TP,10,14,transformation product of Atrazine,Spring/summer
Lamotrigine,PHAR,10,16,treat seizures and bipolar disorder,Constant
Lidocaine,PHAR,10,10,topical anesthetic and antiarrhythmic (treat irregular heartbeats),Spring/summer
Metoprolol,PHAR,10,10,a beta-blocker used to treat angina (chest pain) and hypertension (high blood pressure),Constant
Metformin,PHAR,10,46,controls high blood sugar; diabetes medication,Constant
Irbesartan,PHAR,10,13,an oral medication that is used to treat high blood pressure,Constant
Caffeine,PHAR,1,1,"stimulant, world's most widely consumed psychoactive drug",Constant
Fexofenadine,PHAR,10,10,antihistamine; relieve variety of allergy symptoms,Spring//summer
Cetirizine,PHAR,10,11,"antihistamine; treats hay fever and allergy symptoms, hives, and itching",Spring//summer
Venlafaxine,PHAR,10,11,an antidepressant,Constant
Trimethoprim,PHAR,1,1,an antibiotic used to treat bacterial infections,Constant
Sulfamethoxazole,PHAR,1,1,combination of two antibiotics; used to treat a wide variety of bacterial infections,Constant
