"Site","Date","Acetaminophen","Amantadine","AzelaicAcid","Bamethan","Bupropion","Caffeine","Carbamazepine","Cetirizine","Citalopram","Desipramine","DesvenlafaxineODesmethylVenlafaxine","Dexpanthenol","Diltiazem","Diphenhydramine","Dopamine","Fexofenadine","Flecainide","Fluconazole","Gabapentin","Gemfibrozil","Irbesartan","Lamotrigine","Levetiracetam","Lidocaine","Losartan","Metformin","Methocarbamol","Metoprolol","Nadolol","Naproxen","Oxcarbazepine","Propranolol","Protriptyline","Sertraline","Sulfamethoxazole","Sulfapyridine","Trimethoprim","Venlafaxine","1011Dihydro10hydroxyCarbamazepine","2Ethyl2phenylmalonamide","Benzoylecgonine","HydroxyBupropion","N4Acetylsulfamethoxazole","RitalinicAcid","4Chloro2methylphenoxyaceticAcidMCPA","24DichlorophenoxyaceticAcid24D","AbscisicAcid","Ametryn","Atrazine","Carbaryl","Carbendazim","Clothianidin","Diuron","EthylButylacetylaminopropionate","Imazapyr","Imidacloprid","Mecoprop","Metalaxyl","Metolachlor","Monuron","Prometon","Propazine","Simazine","Thiamethoxam","Atrazine2hydroxy","Atrazinedesethyl","Atrazinedesisopropyl","MetolachlorEthaneSulfonicAcidMetolachlorESA","MetolachlorOxanilicAcidMetolachlorOA","2Hydroxybenzothiazole","5Methyl1Hbenzotriazole","1HBenzotriazole","Benzophenone","Benzophenone3Oxybenzone","Benzothiazole","NNDiethyl3methylbenzamideDEET","Sucralose","Triclosan","Galaxolidone"
"Butternut Creek","7/26/18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,31,NA,NA,NA,NA,NA,18,20.5,17.5,NA,32.5,130,NA,NA,NA,NA,78.5,16.5,NA,234,NA,NA,43,NA,NA,NA,NA,28.5,60,NA,36.5
"Butternut Creek","8/20/18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,17,NA,59,25.5,26.5,NA,NA,NA,44,NA,27.5,NA,142,1.5,65.5,NA,2
"Butternut Creek","6/11/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,7,NA,NA,NA,5,314.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,246.5,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.5,NA,NA,NA,20.5,NA,65,19,NA,328.5,NA,NA,NA,NA,50,NA,191,NA,61.5,NA,48
"Butternut Creek","7/3/19",NA,NA,NA,38.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.5,NA,NA,102,NA,NA,NA,NA,NA,NA,NA,NA,2,136,NA,NA,NA,18,NA,81,26.5,28,426,40,NA,NA,NA,213.5,23.5,NA,NA,72,NA,9
"Chenango River","9/1/18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.5,NA,NA,NA,NA,NA,61,18.5,NA,120.5,NA,NA,88,NA,NA,NA,NA,NA,99.5,NA,17
"Chenango River","9/21/18",NA,NA,NA,NA,NA,35.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.5,NA,NA,NA,NA,NA,27.5,NA,NA,NA,NA,NA,5,NA,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,68.5,17,NA,1117,NA,NA,100,NA,322.5,28,217.5,NA,193,NA,58
"Chenango River","7/8/19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,7.5,NA,NA,NA,20.5,NA,NA,NA,NA,26.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.5,NA,NA,NA,NA,NA,51,21.5,NA,270,NA,NA,81.5,NA,51.5,NA,292.5,19.5,113.5,NA,42.5
"Chenango River","6/14/19",NA,NA,NA,24.5,NA,169.5,2,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,32.5,NA,8,NA,103,NA,6,41.5,NA,NA,NA,8.5,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.5,NA,NA,NA,NA,NA,48,18,NA,439.5,NA,NA,49.5,NA,70,NA,297.5,18.5,80.5,NA,78.5
"Chittenango Creek","7/26/18",NA,NA,NA,NA,13,NA,NA,29.5,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,31,NA,130,48.5,NA,16,16,110.5,NA,5,NA,NA,NA,NA,NA,NA,35,NA,4,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,67.5,15.5,NA,99.5,NA,NA,55.5,NA,NA,NA,NA,23,457,NA,170.5
"Chittenango Creek","8/20/18",NA,NA,NA,NA,NA,NA,NA,25.5,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,60,104.5,NA,8,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.5,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,48,17.5,NA,NA,NA,NA,78.5,NA,38.5,NA,160.5,NA,522,NA,25.5
