Sample ID,Sampling Date,Precip,Q_mm_day,Q_4day_aver,Q_7day_aver,Q_14day_aver,Baseflow,Runoff,RR_7day,P_4day_cum,P_7day_cum,P_14day_cum,Temp_C
07262018_ButternutCreek_1,7/26/18,24,,,,,,,,73,79,115,20.6
08202018_ButternutCreek_1,8/20/18,0,,,,,,,,24,77,114,18.9
06112019_ButternutCreek_1,6/11/19,12,,,,,,,,12,27,55,16.3
07032019_ButternutCreek_1,7/3/19,0,,,,,,,,3,3,67,19.8
09012018_ChenangoRiver_1,9/1/18,1,0.94623976,0.8333772,1.0220834,1.97503043,0.47398409,0.472255668,0.31106886,23,23,33,17.6
09212018_ChenangoRiver_1,9/21/18,0,0.71509722,0.916444,1.20782294,0.87787729,0.46100243,0.254094792,0.21678873,39,39,96,17
07082019_ChenangoRiver_1,7/8/19,0,0.52007071,0.680787,0.80383945,1.39846394,0.45128016,0.068790544,0.56268761,10,10,24,19.3
06142019_ChenanogoRiver_1,6/14/19,8,0.76927126,0.8451149,0.88123092,1.07986904,0.4453237,0.323947556,0.20562055,30,30,46,13.3
07262018_ChittenangoCreek_1,7/26/18,11,0.50083776,0.3264514,0.34139876,0.33372576,0.31016366,0.190674096,0.05431344,41,44,81,21.7
08202018_ChittenangoCreek_1,8/20/18,0,0.3027348,0.5025816,0.39560802,0.33950542,0.3027348,0,0.05128252,11,54,67,20.2
05062019_Chittenango_Creek_1,5/6/19,5,2.39955694,2.3193392,2.46333254,2.8848494,0.30276916,2.096787786,0.7497099,13,23,46,12.7
05272019_Chittenango_Creek_1,5/27/19,0,1.93917683,2.7518175,3.09311659,3.68304089,0.29191336,1.647263478,1.35323851,16,16,76,17.5
08012018_ConesusCreek_1,8/1/18,0,0.22694501,0.1721652,0.15776218,0.15518157,0.16579826,0.061146744,0.11043353,3,10,64,22.7
08222018_ConesusCreek_1,8/22/18,7,0.21520647,0.2099893,0.20290896,0.19377899,0.16865052,0.046555954,0.03228097,8,44,94,20.9
05292019_Conesus_Creek_1,5/29/19,4,2.42596387,0.3671553,0.35234237,1.91403332,0.17155681,2.254407058,0.14508215,17,17,33,14.4
05082019_Conesus_Creek_1,5/8/19,5,0.35867745,1.8716442,1.98809789,1.54091561,0.17411869,0.184558767,0.73245712,5,19,38,7.2
09012018_CowaselonCreek_1,9/1/18,0,0.3055649,0.2764906,0.30491338,0.37755834,0.30138241,0.004182494,0.10163779,21,21,33,19.1
09212018_CowaselonCreek_1,9/21/18,0,0.31012557,0.3563024,0.50884049,0.41811573,0.30170251,0.008423063,0.32380758,11,11,48,16.6
06112019_CowaselonCreek_1,6/11/19,21,1.95880784,1.6840275,1.6467277,1.78582814,0.30311635,1.655691495,0.28114863,21,41,59,17.2
07032019_CowaselonCreek_1,7/3/19,1,1.03755247,1.3567994,1.63630331,2.38457898,0.30530773,0.732244736,11.45412317,1,1,57,21.2
08012018_FlintCreek_1,8/1/18,0,0.05362553,0.167347,0.11594924,0.07624214,0.05362553,0,0.09018274,0,9,49,23.2
08222018_FlintCreek_1,8/22/18,4,0.19457873,0.3395818,0.218,0.13345867,0.05382374,0.14075499,0.0545,5,28,116,21.1
05292019_Flint_Creek_1,5/29/19,5,1.00547861,0.8742078,1.09405649,2.01734121,0.05439483,0.951083785,0.22524692,25,34,48,14.9
05082019_Flint_Creek_1,5/8/19,5,1.15443841,0.8797938,0.83483985,0.95434018,0.05489278,1.099545629,0.23375516,9,25,42,8.3
08012018_GanargnaCreek_1,8/1/18,0,0.07912639,0.2270763,0.17665673,0.12546596,0.07912639,0,0.06869984,1,18,64,23.4
08222018_GanargnaCreek_1,8/22/18,4,0.37997152,1.9643539,1.17594534,0.78414018,0.07954945,0.300422068,0.31660067,7,26,111,21.3
05082019_Ganargua_Creek_1,5/8/19,5,1.1209572,1.7549986,1.45029726,1.32783975,0.08201561,1.038941591,0.40608323,6,25,42,8.1
05292019_Ganargua_Creek_1,5/29/19,3,0.81186974,0.8821356,1.09634795,2.05239964,0.08583774,0.726032001,0.51162905,13,15,33,14.3
07262018_HarborBrook_1,7/26/18,18,0.51754398,0.3062135,0.33909212,0.33046639,0.30512591,0.212418062,0.02239288,93,106,176,20.9
08202018_HarborBrook_1,8/20/18,0,0.35287089,0.4399124,0.41280293,0.42042046,0.30693213,0.045938758,0.02918809,16,99,187,18.9
06112019_HarborBrook_1,6/11/19,12,0.87041487,1.0931156,1.02881469,1.02747042,0.30832047,0.562094394,0.45010643,12,16,41,15.4
07032019_HarborBrook_1,7/3/19,0,0.60458546,0.6961359,0.75144697,1.07059909,0.30930774,0.295277723,0.16437902,32,32,52,20.9
08012018_HoneoyeCreek_1,8/1/18,0,0.02101815,0.1604337,0.09629845,0.04994244,0.02101815,0,0.06128083,0,11,65,23.3
08222018_HoneoyeCreek_1,8/22/18,5,0.14936512,0.2317106,0.13878654,0.08819076,0.02119864,0.128166481,0.0313389,5,31,91,21.3
