Site Name,% Agriculture,% Urban,PHAR,PHAR TP,PHAR + TP,PCHC,PCHC TP,PCHC + TP,PEST,PEST TP,PEST + TP
Conesus Creek,20.90,6.70,32,5,37,7,1,8,12,5,17
Chittenango Creek,13.71,6.72,14,0,14,5,1,6,5,3,8
Ganargua Creek,27.96,10.27,24,6,30,7,1,8,15,5,20
Chenango River,11.03,6.03,12,0,12,6,1,7,2,3,5
Cowaselon Creek,21.42,8.09,12,0,12,5,1,6,6,3,9
Flint Creek,43.45,5.07,5,0,5,5,1,6,8,5,13
Butternut Creek,11.72,17.05,6,0,6,6,1,7,9,5,14
Oatka Creek,48.52,6.54,21,1,22,5,1,6,11,5,16
Honeoye Creek,15.05,5.28,11,1,12,5,1,6,11,5,16
NinemileCreek Lakeland,24.15,14.26,11,0,11,5,1,6,8,5,13
NinemileCreek Marietta,28.00,5.74,18,0,18,5,1,6,10,5,15
Harbor Brook,6.93,48.83,19,1,20,6,1,7,9,4,13
Sauquoit Creek,20.92,18.50,11,1,12,9,1,10,7,4,11
Oneida Creek,26.99,8.03,19,2,21,7,1,8,5,5,10
Otselic River,4.46,4.64,10,0,10,4,1,5,2,3,5
Salmon Creek,54.15,5.13,5,0,5,6,1,7,8,5,13
Oriskany Creek,28.31,8.47,17,1,18,6,1,7,5,4,9
Scriba Creek,0.57,3.64,6,0,6,4,1,5,3,2,5
Sixmile Creek,1.34,7.21,13,0,13,6,1,7,4,4,8
Skaneateles Creek,23.17,6.99,26,2,28,7,1,8,12,5,17
