Site Name,PHAR,PHAR TP,PEST,PEST TP,PCHC,PCHC TP,TOTAL
Conesus Creek,32,5,12,5,7,1,62
Chittenango Creek,14,0,5,3,5,1,28
Ganargua Creek,24,6,15,5,7,1,58
Chenango River,12,0,2,3,6,1,24
Cowaselon Creek,12,0,6,3,5,1,27
Flint Creek,5,0,8,5,5,1,24
Butternut Creek,6,0,9,5,6,1,27
Oatka Creek,21,1,11,5,5,1,44
Honeoye Creek,11,1,11,5,5,1,34
NinemileCreek Lakeland,11,0,8,5,5,1,30
NinemileCreek Marietta,18,0,10,5,5,1,39
Harbor Brook,19,1,9,4,6,1,40
Sauquoit Creek,11,1,7,4,9,1,33
Oneida Creek,19,2,5,5,7,1,39
Otselic River,10,0,2,3,4,1,20
Salmon Creek,5,0,8,5,6,1,25
Oriskany Creek,17,1,5,4,6,1,34
Scriba Creek,6,0,3,2,4,1,16
Sixmile Creek,13,0,4,4,6,1,28
Skaneateles Creek,26,2,12,5,7,1,53
